FloodIntensity,UnmetIrrDemand,UnmetHydroDemand,UnmetRecreationDemand,x1,x2,x3,Dominance
33.42283476,10.81195652,10.81195652,0,0.439236044,119.5057369,0.11344627,2
16.73517335,12.96044793,12.96044793,0.035317771,0.474183441,71.54118014,0.793122754,2
19.73266608,12.76125595,12.76125595,0.00568446,0.457032569,75.03732918,0.772079297,2
10.51405338,11.33304578,11.33304578,0.408565492,0.550532361,64.76592931,0.249841743,2
10.57189013,11.11079367,11.11079367,0.429429696,0.551155512,65.38599945,0.156710824,2
16.64119093,12.90500712,12.90500712,0.036079027,0.4756864,71.58668283,0.792686517,2
19.3425088,12.99554975,12.99554975,3.37E-05,0.460759632,74.42670574,0.803898537,2
20.30617633,12.60802513,12.60802513,0,0.460908467,75.76215178,0.74893794,2
27.42143773,10.78550865,10.78550865,0,0.456466752,84.9496706,0,2
22.669349,10.95510087,10.95510087,0.015490406,0.477446487,78.61554079,0.062381746,2
15.91329303,10.72712018,10.72712018,1.394967499,0.026868558,51.26036259,0,2
17.53079791,10.55616102,10.55616102,1.832564227,0.046370681,50,0,2
24.42445696,10.90707985,10.90707985,0,0.462991292,79.57670476,0.033953082,2
19.86967272,11.21833642,11.21833642,0.016793337,0.476581037,73.89404534,0.174377075,2
14.01028361,10.66004647,10.66004647,1.920012381,0.035815664,50.09609661,0,2
15.08430096,10.7139265,10.7139265,1.542910611,0.028674059,51.24240448,0,2
18.06289252,10.76086293,10.76086293,0.862531137,0.022043131,52.48116343,0,2
26.80445598,10.78595474,10.78595474,0,0.459787599,84.27336975,0,2
14.49530564,10.66601296,10.66601296,1.789355542,0.034654582,50.55809643,0,2
17.84692708,10.56047851,10.56047851,1.742291869,0.045481111,50.22364548,0,2
16.91818093,10.48107468,10.48107468,2.218776965,0.0146759,50.03447231,0,2
8.919664634,11.19601936,11.19601936,0.842458569,0.579410509,64.59760811,0.23296108,2
18.41388344,10.56736109,10.56736109,1.582930078,0.044016848,50.68354432,0,2
26.51999086,10.78616197,10.78616197,0,0.461333786,84.13943661,0,2
15.42482556,10.63281314,10.63281314,1.604158292,0.037491358,50.51603487,0,2
